epoch,train_loss,val_loss,val_auc,val_acc
1,0.7024807275181085,0.7264284864068031,0.5736468500443656,0.5578947368421052
1,0.7127966036399206,0.7050338437159857,0.59094942324756,0.5157894736842106
2,0.6585091716713376,0.7879969378312429,0.6548358473824312,0.5578947368421052
3,0.6396983390053114,1.0693287948767345,0.6566104702750666,0.5052631578947369
4,0.6363242434130775,1.1929132242997487,0.6548358473824313,0.5052631578947369
5,0.6170958388182852,0.7276345739761988,0.6801242236024845,0.5473684210526316
6,0.6433088845676846,0.669631838798523,0.6588287488908607,0.5789473684210527
7,0.6375494806302918,0.7003505130608877,0.5940550133096717,0.5684210526315789
8,0.6443983713785807,0.7328891605138779,0.5953859804791481,0.5684210526315789
9,0.6236731153395441,0.700819581747055,0.5891748003549246,0.5789473684210527
10,0.6493437886238098,0.6830697953701019,0.6437444543034605,0.5578947368421052
11,0.6176800280809402,0.8600673874219259,0.6796805678793256,0.5368421052631579
12,0.6173520170980029,0.7393157208959261,0.5745341614906831,0.5368421052631579
13,0.581504202551312,0.6370354890823364,0.7049689440993789,0.6631578947368421
14,0.5874953468640646,0.6916259278853735,0.6393078970718722,0.5789473684210527
15,0.583151015970442,0.7471678306659063,0.6739130434782609,0.5368421052631579
16,0.5610479091604551,0.8750027318795522,0.49423247559893524,0.49473684210526314
17,0.7162490884462992,0.6555810024340948,0.6601597160603372,0.6
18,0.6119403739770254,0.6580939640601476,0.6663708961845609,0.6421052631578947
19,0.5848097801208496,0.8766389091809591,0.6060337178349601,0.5263157894736842
20,0.5967198701368438,0.64949348817269,0.74622892635315,0.6105263157894737
21,0.5781452548172739,0.6117033312718073,0.7533274179236913,0.7052631578947368
22,0.5986946746706963,0.8492892881234487,0.5780834072759538,0.5473684210526316
23,0.5541535847716861,0.6922054042418798,0.6131322094055013,0.6105263157894737
24,0.5564369542731179,0.6835750962297121,0.6410825199645076,0.6631578947368421
25,0.5837886184453964,0.6218923156460127,0.7178349600709848,0.7052631578947368
26,0.5293349631958537,0.926284114519755,0.7830523513753328,0.5157894736842106
27,0.5546756188074747,0.7900570556521416,0.7453416149068323,0.6105263157894737
28,0.5453192848298285,0.8242069234450659,0.764418811002662,0.5157894736842106
29,0.5550395780139499,0.803455670674642,0.8478260869565217,0.5157894736842106
30,0.5439832429918978,2.130228896935781,0.7280390417036379,0.5263157894736842
31,0.5119375586509705,0.7010975380738577,0.7085181898846495,0.5789473684210527
32,0.47746117330259746,0.5825684666633606,0.8047914818101153,0.7263157894736842
33,0.4990282787217034,0.5340234960118929,0.8487133984028394,0.7052631578947368
34,0.4790949076414108,0.6480650156736374,0.8194321206743567,0.6947368421052632
35,0.48225922137498856,0.6347386861840884,0.7724046140195209,0.6842105263157895
36,0.4728042255673144,0.4883371740579605,0.8731144631765749,0.8
37,0.4384929823378722,0.5503930822014809,0.8660159716060337,0.7684210526315789
38,0.40951351448893547,0.6190960655609766,0.8908606921029281,0.6631578947368421
39,0.44936177631219226,0.5387353152036667,0.8362910381543922,0.7473684210526316
40,0.41495445577634704,0.4750651530921459,0.8673469387755103,0.8
41,0.4525270097785526,0.4360487163066864,0.9010647737355811,0.8421052631578947
42,0.45137818737162483,0.4526853710412979,0.8904170363797693,0.7894736842105263
43,0.3874008113311397,0.3606557386616866,0.9338952972493345,0.8736842105263158
44,0.39417466293606496,0.8827055344978968,0.8686779059449866,0.5578947368421052
45,0.4055162084599336,0.40274427582820255,0.9023957409050577,0.8105263157894737
46,0.4293944848080476,0.5150877038637797,0.8260869565217391,0.7684210526315789
47,0.4376639541652467,0.5113680337866148,0.919698314108252,0.7473684210526316
48,0.4045376334753301,0.3755592579642932,0.9267968056787932,0.8631578947368421
49,0.3613959517743852,0.47103961805502575,0.9112688553682342,0.7789473684210526
50,0.34751253699262935,0.6686030651132265,0.8873114463176575,0.6526315789473685
